Statistical profiling result from isolate-0x148008000-26156-v8.log, (11192 ticks, 5014 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
    115  100.0%          JS: ^Module.load node:internal/modules/cjs/loader:1275:33
    115  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:1016:24
      5    4.2%        JS: ~Module._extensions..js node:internal/modules/cjs/loader:1502:37
      5  100.0%          JS: ^Module.load node:internal/modules/cjs/loader:1275:33
      5  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:1016:24
      3    2.4%      JS: ~Module._extensions..json node:internal/modules/cjs/loader:1556:39
      3  100.0%        JS: ^Module.load node:internal/modules/cjs/loader:1275:33
      3  100.0%          JS: ^Module._load node:internal/modules/cjs/loader:1016:24
      2   66.7%            JS: *Module.require node:internal/modules/cjs/loader:1303:36
      1   33.3%            JS: ^Module.require node:internal/modules/cjs/loader:1303:36
      2    1.6%      JS: ~<anonymous> /Users/andris/Projects/email-text-tools/examples/mime-html.js:1:1
      2  100.0%        JS: ~Module._compile node:internal/modules/cjs/loader:1409:37
      2  100.0%          JS: ~Module._extensions..js node:internal/modules/cjs/loader:1502:37
      2  100.0%            JS: ~Module.load node:internal/modules/cjs/loader:1275:33
     85    1.7%    Builtin: StringPrototypeCharAt
     84   98.8%      JS: *parse /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:9:29
     84  100.0%        JS: *set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
     84  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     44   52.4%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:37:16
     39   46.4%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      1    1.2%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLImageElement-impl.js:14:16
      1    1.2%      JS: ^parse /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:9:29
      1  100.0%        JS: ^set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:196:19
      1  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      1  100.0%            JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
     72    1.4%    JS: *_createAttribute /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Document-impl.js:756:19
     71   98.6%      JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     71  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     70   98.6%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     70  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      1    1.4%          JS: ^cloneNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:482:12
      1  100.0%            JS: ^cloneNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Node.js:139:14
      1    1.4%      JS: *exports.setAttributeValue /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/attributes.js:242:38
      1  100.0%        JS: ^adoptAttributes /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:161:18
      1  100.0%          JS: ^createElement /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:60:16
      1  100.0%            JS: ^_appendElement /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:290:19
     67    1.3%    JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     60   89.6%      JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      5    8.3%        JS: ~get node:internal/util:627:17
      4   80.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      4  100.0%            JS: ~<anonymous> /Users/andris/Projects/email-text-tools/node_modules/undici/lib/web/fetch/response.js:1:1
      1   20.0%          JS: ~<anonymous> /Users/andris/Projects/email-text-tools/node_modules/safer-buffer/safer.js:1:1
      1  100.0%            JS: ~Module._compile node:internal/modules/cjs/loader:1409:37
      5    8.3%        JS: ~<anonymous> node:http2:1:1
      5  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      5  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      5    8.3%        JS: ~<anonymous> node:crypto:1:1
      5  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      5  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      3    5.0%        JS: ~<anonymous> node:tls:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    5.0%        JS: ~<anonymous> node:internal/streams/duplex:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    5.0%        JS: ~<anonymous> node:internal/fs/promises:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    5.0%        JS: ~<anonymous> node:http:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      3    5.0%        JS: ~<anonymous> node:_http_agent:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      2    3.3%        JS: ~resolveExports node:internal/modules/cjs/loader:624:24
      2  100.0%          JS: ~Module._findPath node:internal/modules/cjs/loader:666:28
      2  100.0%            JS: ~Module._resolveFilename node:internal/modules/cjs/loader:1139:35
      2    3.3%        JS: ~get node:fs:3289:8
      2  100.0%          JS: ~<anonymous> /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/api.js:1:1
      2  100.0%            JS: ~Module._compile node:internal/modules/cjs/loader:1409:37
      2    3.3%        JS: ~<anonymous> node:internal/webstreams/readablestream:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      2    3.3%        JS: ~<anonymous> node:internal/child_process:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      2    3.3%        JS: ~<anonymous> node:child_process:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      2    3.3%        JS: ~<anonymous> node:assert:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      2    3.3%        JS: ~<anonymous> node:_http_client:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~get node:internal/util:657:17
      1  100.0%          Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      1  100.0%            JS: ~<anonymous> /Users/andris/Projects/email-text-tools/node_modules/lru-cache/dist/commonjs/index.js:1:1
      1    1.7%        JS: ~<anonymous> node:worker_threads:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    1.7%        JS: ~<anonymous> node:tty:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    1.7%        JS: ~<anonymous> node:stream:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    1.7%        JS: ~<anonymous> node:internal/worker:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/streams/readable:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/streams/operators:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/streams/compose:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/readline/interface:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/perf/resource_timing:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/modules/esm/resolve:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/http2/core:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/http2/compat:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/crypto/pbkdf2:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/crypto/hkdf:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%        JS: ~<anonymous> node:internal/assert/assertion_error:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      4    6.0%      JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      4  100.0%        JS: ~loadBuiltinModule node:internal/modules/helpers:96:27
      3   75.0%          JS: ^Module._load node:internal/modules/cjs/loader:1016:24
      3  100.0%            JS: *Module.require node:internal/modules/cjs/loader:1303:36
      1   25.0%          JS: ~Module._load node:internal/modules/cjs/loader:1016:24
      1  100.0%            JS: ~Module.require node:internal/modules/cjs/loader:1303:36
      3    4.5%      JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      3  100.0%        JS: ^loadBuiltinModule node:internal/modules/helpers:96:27
      3  100.0%          JS: ^Module._load node:internal/modules/cjs/loader:1016:24
      3  100.0%            JS: *Module.require node:internal/modules/cjs/loader:1303:36

   1423   12.7%  Builtin: KeyedLoadIC_Megamorphic
   1210   85.0%    JS: *queueMutationRecord /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/mutation-observers.js:33:29
   1178   97.4%      JS: *replaceData /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/CharacterData-impl.js:67:14
    588   49.9%        JS: *onWhitespaceCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:1115:26
    588  100.0%          JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
    588  100.0%            JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
    587   49.8%        JS: *onCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:625:16
    587  100.0%          JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
    587  100.0%            JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
     13    1.1%      JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     13  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     13  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     12   92.3%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      1    7.7%            JS: ^cloneNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:482:12
     25    1.8%    JS: *_modified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:216:12
      9   36.0%      JS: *_insert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:764:10
      9  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      9  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      9  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      5   20.0%      JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      5  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      5  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      5  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      4   16.0%      JS: ^_insert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:764:10
      4  100.0%        JS: ^_preInsert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:748:13
      4  100.0%          JS: ^_append /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:863:10
      3   75.0%            JS: ^appendChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:99:14
      1   25.0%            JS: ^insertText /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:139:13
      4   16.0%      JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:37:16
      4  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      4  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      4  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      2    8.0%      JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLImageElement-impl.js:14:16
      2  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      2  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      2  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      1    4.0%      JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:112:16
      1  100.0%        JS: ^_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      1  100.0%          JS: *exports.appendAttribute /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/attributes.js:50:36
      1  100.0%            JS: ^exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     20    1.4%    JS: *following /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:220:18
     20  100.0%      JS: *_remove /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:1072:10
     16   80.0%        JS: ^_preRemove /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:1058:13
     16  100.0%          JS: ^removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:609:14
     16  100.0%            JS: ^removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Node.js:451:16
      4   20.0%        JS: ~_preRemove /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:1058:13
      3   75.0%          JS: ^removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:609:14
      3  100.0%            JS: ^removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Node.js:451:16
      1   25.0%          JS: ~removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:609:14
      1  100.0%            JS: ~removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Node.js:451:16
     19    1.3%    JS: *_node /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:49:14
      6   31.6%      JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      6  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      6  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      6  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      5   26.3%      JS: *_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:86:10
      5  100.0%        JS: *_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:86:10
      5  100.0%          JS: *_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:86:10
      5  100.0%            JS: *_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:86:10
      4   21.1%      JS: *_detach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:101:10
      4  100.0%        JS: *_detach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:101:10
      4  100.0%          JS: *_detach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:101:10
      4  100.0%            JS: *_detach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:101:10
      3   15.8%      JS: *next /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/TreeIterator.js:16:13
      3  100.0%        JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
      3  100.0%          Builtin: GeneratorPrototypeNext
      3  100.0%            JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
      1    5.3%      JS: ^lastChild /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:101:18
      1  100.0%        JS: ^_insert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:764:10
      1  100.0%          JS: ^_preInsert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:748:13
      1  100.0%            JS: ^_append /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:863:10
     16    1.1%    JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     16  100.0%      JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     16  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     16  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     16  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17

   1141   10.2%  JS: *queueMutationRecord /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/mutation-observers.js:33:29
   1116   97.8%    JS: *replaceData /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/CharacterData-impl.js:67:14
    560   50.2%      JS: *onCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:625:16
    560  100.0%        JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
    560  100.0%          JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
    560  100.0%            JS: *_runParsingLoop /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:208:20
    549   49.2%      JS: *onWhitespaceCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:1115:26
    549  100.0%        JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
    549  100.0%          JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
    549  100.0%            JS: *_runParsingLoop /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:208:20

    771    6.9%  JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
    749   97.1%    Builtin: GeneratorPrototypeNext
    740   98.8%      JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
    740  100.0%        Builtin: GeneratorPrototypeNext
    732   98.9%          JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
    732  100.0%            Builtin: GeneratorPrototypeNext
     22    2.9%    JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
     22  100.0%      Builtin: GeneratorPrototypeNext
     21   95.5%        JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
     21  100.0%          Builtin: GeneratorPrototypeNext
     21  100.0%            JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
      1    4.5%        JS: *_insert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:764:10
      1  100.0%          JS: *_preInsert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:748:13
      1  100.0%            JS: ^insertBefore /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:594:15

    347    3.1%  Builtin: LoadIC_Megamorphic
    199   57.3%    JS: *replaceData /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/CharacterData-impl.js:67:14
    109   54.8%      JS: *onWhitespaceCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:1115:26
    109  100.0%        JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
    109  100.0%          JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
    109  100.0%            JS: *_runParsingLoop /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:208:20
     90   45.2%      JS: *onCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:625:16
     90  100.0%        JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
     90  100.0%          JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
     90  100.0%            JS: *_runParsingLoop /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:208:20
     52   15.0%    JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     52  100.0%      JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     52  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     52  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     51   98.1%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
      1    1.9%            JS: ^cloneNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:482:12
     11    3.2%    JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
     10   90.9%      JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     10  100.0%        JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     10  100.0%          JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     10  100.0%            JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
