Statistical profiling result from isolate-0x148008000-26156-v8.log, (11192 ticks, 5014 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      5    0.0%    0.0%  RegExp: ^[a-z](?:[\.0-9_a-z\xB7\xC0-\xD6\xD8-\xF6\xF8-\u037D\u037F-\u1FFF\u200C\u200D\u203F\u2040\u2070-\u218F\u2C00-\u2FEF\u3001-\uD7FF\uF900-\uFDCF\uFDF0-\uFFFD]|[\uD800-\uDB7F][\uDC00-\uDFFF])*-(?:[\x2D\.0-9_a-z\xB7\xC0-\xD6\xD8-\xF6\xF8-\u037D\u037F-\u1FFF\u200C\u200D\u203F\u2040\u2070-\u218F\u2C00-\u2FEF\u3001-\uD7FF\uF900-\uFDCF\uFDF0-\uFFFD]|[\uD800-\uDB7F][\uDC00-\uDFFF])*$
      5    0.0%    0.0%  JS: ~parseError /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:60:27
      5    0.0%    0.0%  JS: *nodeRoot /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/node.js:23:18
      5    0.0%    0.0%  JS: *SymbolTreeNode /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTreeNode.js:4:20
      5    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      5    0.0%    0.0%  Builtin: FastNewObject
      4    0.0%    0.0%  RegExp: {{([\S\s]*?)}}
      4    0.0%    0.0%  RegExp: <%([\S\s]*?)%>
      4    0.0%    0.0%  JS: *resolve node:path:1163:10
      4    0.0%    0.0%  JS: *index /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:473:14
      4    0.0%    0.0%  Builtin: StrictEqual_Baseline
      4    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      4    0.0%    0.0%  Builtin: ProxyGetProperty
      3    0.0%    0.0%  RegExp: [a-z]
      3    0.0%    0.0%  JS: *shadowIncludingDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:251:45
      3    0.0%    0.0%  JS: *get /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/DOMStringMap.js:127:6
      3    0.0%    0.0%  JS: *exports.createImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/HTMLAnchorElement.js:46:22
      3    0.0%    0.0%  JS: *_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLImageElement-impl.js:14:16
      3    0.0%    0.0%  Builtin: StringSubstring
      3    0.0%    0.0%  Builtin: JSEntry
      3    0.0%    0.0%  Builtin: GetPropertyWithReceiver
      3    0.0%    0.0%  Builtin: BaselineOutOfLinePrologue
      3    0.0%    0.0%  Builtin: ArrayIncludesSmiOrObject
      2    0.0%    0.0%  JS: *set /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:243:19
      2    0.0%    0.0%  JS: *onCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:625:16
      2    0.0%    0.0%  JS: *get tagName /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:142:14
      2    0.0%    0.0%  JS: *get lastChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:191:16
      2    0.0%    0.0%  JS: *get isConnected /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:182:18
      2    0.0%    0.0%  JS: *get /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/NamedNodeMap.js:364:6
      2    0.0%    0.0%  JS: *exports.createImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Text.js:43:22
      2    0.0%    0.0%  JS: *exports.createImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/HTMLUnknownElement.js:43:22
      2    0.0%    0.0%  JS: *advance /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/preprocessor.js:135:12
      2    0.0%    0.0%  JS: *_descendantAdded /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:251:19
      2    0.0%    0.0%  Builtin: ToName
      2    0.0%    0.0%  Builtin: StringPrototypeEndsWith
      2    0.0%    0.0%  Builtin: RegExpReplace
      2    0.0%    0.0%  Builtin: ReflectGet
      2    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      2    0.0%    0.0%  Builtin: ObjectCreate
      2    0.0%    0.0%  Builtin: KeyedStoreIC
      2    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      2    0.0%    0.0%  Builtin: CreateShallowObjectLiteral
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      2    0.0%    0.0%  Builtin: Call_ReceiverIsAny
      2    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      2    0.0%    0.0%  Builtin: BaselineLeaveFrame
      2    0.0%    0.0%  Builtin: ArrayPrototypeSplice
      2    0.0%    0.0%  Builtin: Add {1}
      1    0.0%    0.0%  RegExp: [A-Z]
      1    0.0%    0.0%  RegExp: ["&\u00A0]
      1    0.0%    0.0%  RegExp: <[/\w]
      1    0.0%    0.0%  JS: ~get body /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Document-impl.js:576:11
      1    0.0%    0.0%  JS: ~filter /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:197:15
      1    0.0%    0.0%  JS: ~exports.create /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/HTMLHtmlElement.js:41:18
      1    0.0%    0.0%  JS: ~<anonymous> /Users/andris/Projects/email-text-tools/node_modules/entities/lib/generated/decode-data-html.js:8:19
      1    0.0%    0.0%  JS: ~<anonymous> /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:257:32
      1    0.0%    0.0%  JS: ^tryWrapperForImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/utils.js:86:27
      1    0.0%    0.0%  JS: ^removeProperty /Users/andris/Projects/email-text-tools/node_modules/cssstyle/lib/CSSStyleDeclaration.js:111:28
      1    0.0%    0.0%  JS: ^removeChild /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Node.js:451:16
      1    0.0%    0.0%  JS: ^readPackage node:internal/modules/package_json_reader:140:21
      1    0.0%    0.0%  JS: ^onWhitespaceCharacter /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/parser/index.js:1115:26
      1    0.0%    0.0%  JS: ^nextNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/traversal/NodeIterator-impl.js:26:11
      1    0.0%    0.0%  JS: ^nextNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/NodeIterator.js:94:13
      1    0.0%    0.0%  JS: ^isArrayIndexPropName /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/utils.js:98:30
      1    0.0%    0.0%  JS: ^getOwnPropertyDescriptor /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/NodeList.js:215:27
      1    0.0%    0.0%  JS: ^getAttributeNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:311:19
      1    0.0%    0.0%  JS: ^get length /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/NamedNodeMap.js:325:15
      1    0.0%    0.0%  JS: ^get body /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Document-impl.js:576:11
      1    0.0%    0.0%  JS: ^get /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/NodeList.js:165:6
      1    0.0%    0.0%  JS: ^exports.setup /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Comment.js:52:17
      1    0.0%    0.0%  JS: ^exports.getChildNodes /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/domparsing/parse5-adapter-serialization.js:9:25
      1    0.0%    0.0%  JS: ^exports.filter /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/traversal/helpers.js:9:18
      1    0.0%    0.0%  JS: ^exports.createImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/HTMLLIElement.js:47:22
      1    0.0%    0.0%  JS: ^exports.createImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/HTMLFormElement.js:46:22
      1    0.0%    0.0%  JS: ^exports.DOMString /Users/andris/Projects/email-text-tools/node_modules/webidl-conversions/lib/index.js:240:21
      1    0.0%    0.0%  JS: ^ceReactionsPreSteps /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/custom-elements.js:49:29
      1    0.0%    0.0%  JS: ^_stateSelfClosingStartTag /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:1721:30
      1    0.0%    0.0%  JS: ^_sanitizeElements /Users/andris/Projects/email-text-tools/node_modules/dompurify/dist/purify.cjs.js:889:55
      1    0.0%    0.0%  JS: ^_ownerDocument /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:33:17
      1    0.0%    0.0%  JS: ^_insert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:764:10
      1    0.0%    0.0%  JS: ^_descendantAdded /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:251:19
      1    0.0%    0.0%  JS: ^_attrModified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:171:16
      1    0.0%    0.0%  JS: ^_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:258:10
      1    0.0%    0.0%  JS: ^Module._resolveFilename node:internal/modules/cjs/loader:1139:35
      1    0.0%    0.0%  JS: ^HTMLImageElementImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLImageElement-impl.js:9:14
      1    0.0%    0.0%  JS: ^HTMLFormElementImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLFormElement-impl.js:29:1
      1    0.0%    0.0%  JS: ^EntityDecoder.write /Users/andris/Projects/email-text-tools/node_modules/entities/lib/decode.js:160:46
      1    0.0%    0.0%  JS: ^<anonymous> /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:63:36
      1    0.0%    0.0%  JS: *wrappedFn node:internal/errors:536:21
      1    0.0%    0.0%  JS: *parent /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:143:15
      1    0.0%    0.0%  JS: *normalizeString node:path:78:25
      1    0.0%    0.0%  JS: *isObject /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/utils.js:4:18
      1    0.0%    0.0%  JS: *isArrayIndexPropName /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/utils.js:98:30
      1    0.0%    0.0%  JS: *get nodeName /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:150:15
      1    0.0%    0.0%  JS: *get /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/NodeList.js:165:6
      1    0.0%    0.0%  JS: *exports.is /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/Node.js:15:14
      1    0.0%    0.0%  JS: *exports.createImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/generated/HTMLDivElement.js:46:22
      1    0.0%    0.0%  JS: *basename node:path:1384:11
      1    0.0%    0.0%  JS: *adoptAttributes /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/browser/parser/html.js:161:18
      1    0.0%    0.0%  JS: *_stateAttributeValueUnquoted /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:1640:33
      1    0.0%    0.0%  JS: *_stateAttributeName /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:1481:24
      1    0.0%    0.0%  JS: *_detach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:268:10
      1    0.0%    0.0%  JS: *_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:258:10
      1    0.0%    0.0%  JS: *_adoptNode /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Document-impl.js:817:13
